UPRN,Calendar File,R Rnd,R Day,R Wk,PC Rnd,PC Day,PC Wk,MPT Rnd,MPT Day,MPT Wk,F Rnd,F Day,C Rnd,C Day,C Wk,CH2 Spec,Cal No,Cal Ref,R Day,R Wk,PC Day,PC Wk,M Day,M Wk,F Day,F Wk,C Day,C Wk,Code
9059095031,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095032,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
009059053370,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
009059053371,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059098899,Calendar_62.pdf,106A,Wednesday,2,P7,Tuesday,4,MPT20,Thursday,3,F21,Friday,C27,Thursday,2,,62,,W,2,Tu,4,Th,3,F,1,Th,2,R: W2 | PC: Tu4 | M: Th3 | F: F1 | C: Th2
9059046904,Calendar_58.pdf,106A,Wednesday,2,P24B,Tuesday,4,MPT15,Thursday,2,F23,Friday,C16,Monday,2,,58,,W,2,Tu,4,Th,2,F,1,M,2,R: W2 | PC: Tu4 | M: Th2 | F: F1 | C: M2
009059057443,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059098900,Calendar_62.pdf,106A,Wednesday,2,P7,Tuesday,4,MPT20,Thursday,3,F21,Friday,C27,Thursday,2,,62,,W,2,Tu,4,Th,3,F,1,Th,2,R: W2 | PC: Tu4 | M: Th3 | F: F1 | C: Th2
9059062017,Calendar_58.pdf,106A,Wednesday,2,P24B,Tuesday,4,MPT15,Thursday,2,F23,Friday,C16,Monday,2,,58,,W,2,Tu,4,Th,2,F,1,M,2,R: W2 | PC: Tu4 | M: Th2 | F: F1 | C: M2
009059057446,Calendar_21.pdf,106A,Monday,2,P8,Wednesday,2,MPT16,Friday,2,F23,Friday,C17,Monday,2,,21,,M,2,W,2,F,2,F,1,M,2,R: M2 | PC: W2 | M: F2 | F: F1 | C: M2
9059098901,Calendar_62.pdf,106A,Wednesday,2,P7,Tuesday,4,MPT20,Thursday,3,F21,Friday,C27,Thursday,2,,62,,W,2,Tu,4,Th,3,F,1,Th,2,R: W2 | PC: Tu4 | M: Th3 | F: F1 | C: Th2
9059062007,Calendar_58.pdf,106A,Wednesday,2,P24B,Tuesday,4,MPT15,Thursday,2,F23,Friday,C16,Monday,2,,58,,W,2,Tu,4,Th,2,F,1,M,2,R: W2 | PC: Tu4 | M: Th2 | F: F1 | C: M2
9059029319,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029321,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082938,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029322,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095994,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082939,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029315,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095995,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082940,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029316,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095996,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082933,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029317,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095997,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082934,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029318,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095998,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082935,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059029327,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059095999,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082937,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096000,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082941,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059096001,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082869,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
9059082879,Calendar_45.pdf,115,Tuesday,2,P28,Wednesday,4,MPT15,Thursday,2,F5,Monday,C2,Monday,1,,45,,Tu,2,W,4,Th,2,M,1,M,1,R: Tu2 | PC: W4 | M: Th2 | F: M1 | C: M1
